Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1969,Qtr 1,March,16,16/03/1969,Zulia,McDonnell,McDonnell Douglas DC 9,Maracaibo Zulia,Venezuela Venezolana Internacional de Aviacion,84,84,71,155
2017,Qtr 1,March,27,27/03/2017,Zimbabwe,Britten,Britten  Norman BN2 IslanderC9,Mautaer Zimbabwe,Charter Air ETA,6,6,0,6
1961,Qtr 4,November,22,22/11/1961,Zimbabwe,VP,VP  YRX,Harare Zimbabwe,Services Air Rhodesian,3,3,0,3
1958,Qtr 4,December,26,26/12/1958,Zimbabwe,Douglas,Douglas DC 6BF,Salisbury Zimbabwe,Zimbabwe)Union Aeromaritime de Transport          (Harare,70,3,0,3
1990,Qtr 1,February,17,17/02/1990,Zambia,DHC,DHC  5 BuffaloAF316,Near Ngwerere Zambia,Force Air Zambian - Military,29,29,0,29
2005,Qtr 2,May,18,18/05/2005,Zambia,Yunshuji,Yunshuji Y 12AF,Mongu Zambia,Force Air Zambia - Military,13,13,0,13
1977,Qtr 2,May,14,14/05/1977,Zambia,Boeing,Boeing 707 321CG,Near Lusaka Zambia,Cargo IAS,6,6,0,6
1961,Qtr 3,September,17,17/09/1961,Zambia,Douglas,Douglas DC 6BSE,Ndola Zambia,Sweden Transair,16,16,0,16
1997,Qtr 3,September,12,12/09/1997,Zaire,de Havilland,de Havilland Canada DHC 6 Twin Otter 3009Q,Near Uvira Zaire,Commuter Air TMK,22,22,0,22
1996,Qtr 1,January,8,08/01/1996,Zaire,Antonov,Antonov AN 32BRA,Kinshasa Zaire,Air African,6,2,225,227
1960,Qtr 3,July,19,19/07/1960,Zaire,Fairchild,Fairchild C 119GCP,Near Goma Zaire,Force Air Belgian Royal - Military,41,37,0,37
1949,Qtr 3,August,27,27/08/1949,Zaire,Douglas,Douglas C 47B,Leopoldville Zaire,Sabena,20,5,0,5
1990,Qtr 2,April,20,20/04/1990,Zaire,Lockheed,Lockheed C 130H9T,Near Kinshasa Zaire,Force Air Zairean - Military,24,20,0,20
1969,Qtr 2,April,16,16/04/1969,Zaire,Curtiss,Curtiss C 469T,Kinshasa Zaire,Wigmo,45,45,0,45
1986,Qtr 1,February,5,05/02/1986,Zaire,Lockheed,Lockheed L 188AF Electra9Q,Kasongo Zaire,Aviation GLM,14,2,0,2
1980,Qtr 3,September,17,17/09/1980,Zaire,de Havilland,de Havilland DHC 5 Buffalo9T,Near Kindu Zaire,Force Air Zairean - Military,36,36,0,36
1974,Qtr 3,August,18,18/08/1974,Zaire,Lockheed,Lockheed C 130H9T,Near Kisangani Zaire,Force Air Zairean - Military,31,31,0,31
1980,Qtr 3,September,14,14/09/1980,Zaire,Lockheed,Lockheed Hercules C 1309T,Kindu Zaire,Zaïroise Aérienne Force - Military,36,36,0,36
1984,Qtr 3,September,11,11/09/1984,Zaire,Handley,Handley Page Dart Herald 2029Q CAH,Near the Kwango River Zaire,Services Aero MMM,30,30,0,30
2010,Qtr 3,September,21,21/09/2010,Zabul,Sirkorsky,"Sikorsky UH 60 Black Hawk	93",Chopan district Zabul,Afghanistan          Province International Security Assistance Force,13,10,0,10
1944,Qtr 4,November,10,10/11/1944,Yunan,Lockheed,Lockheed Hudson,Near Kumming Yunan,China CATC,20,20,0,20
1950,Qtr 1,January,26,26/01/1950,Yukon,Douglas,Douglas C 54D,Near Snag Yukon,Force Air U.S. - TerritoryMilitary,44,44,0,44
1973,Qtr 3,September,11,11/09/1973,Yugoslavia,Aerospatiale,Aerospatiale Caravelle 6NYU AHD,Moganik Yugoslavia,Airlines Yugoslav JAT,41,41,0,41
1944,Qtr 2,April,17,17/04/1944,Yugoslavia,Junkers,Junkers JU 52/3mD,Belgrad Yugoslavia,Lufthansa Deutsche,7,5,0,5
1971,Qtr 2,May,23,23/05/1971,Yugoslavia,Tupolev,Tupolev TU 134AYU,Near Rijeka Yugoslavia,(Yugoslavia) Aviogenex,83,78,0,78
1951,Qtr 4,October,22,22/10/1951,Yugoslavia,Douglas,Douglas DC 3YU,Skopje Yugoslavia,Airlines Yugoslav JAT,12,12,0,12
1951,Qtr 2,June,29,29/06/1951,Yugoslavia,Junkers,Junkers 52/3mYU ACE,Near Rijeka Yugoslavia,Airlines Yugoslav JAT,14,14,0,14
1944,Qtr 3,September,2,02/09/1944,Yugoslavia,Junkers,Junkers JU52/3mD AUAW,Belgrad Yugoslavia,Lufthansa Deutsche,5,5,0,5
1947,Qtr 4,November,27,27/11/1947,Yugoslavia,sunov,Lisunov LI 2YU,Montenegrin Mountains Yugoslavia,Airlines Yugoslav JAT,22,22,0,22
1996,Qtr 3,August,19,19/08/1996,Yugoslavia,Ilyushin,Ilyushin IL 76TRA,Belgrade Yugosalvia,Transport Air Spair,12,12,0,12
1933,Qtr 3,September,12,12/09/1933,Yugoslavia,Farman,Farman F 306YU,Near Ljubljana Yugoslavia,Aeroput,8,8,0,8
1944,Qtr 1,January,15,15/01/1944,Yugoslavia,Junkers,Junkers JU 52/3mD,Belgrad Yugoslavia,Lufthansa Deutsche,5,5,0,5
1950,Qtr 3,September,21,21/09/1950,Yugoslavia,Douglas,Douglas DC 3YU,Near Zagreb Yugoslavia,Airlines Yugoslav JAT,11,10,0,10
1964,Qtr 4,October,19,19/10/1964,Yugoslavia,Ilyushin,Ilyushin IL 18CCCP,Near Belgrade Yugoslavia,Force Air Soviet - Military,33,33,0,33
2010,Qtr 1,February,14,14/02/2010,Yemen,Helicopter,Helicopter,Near Saada Yemen,Arm Yemeni - Military,11,11,2,13
1977,Qtr 1,March,1,01/03/1977,Yemen,Douglas,Douglas DC 37O,Off Aden Yemen,Alyemda,21,19,0,19
1985,Qtr 3,August,15,15/08/1985,Yemen,Boeing,Boeing 707 336C7O,Aden Yemen,Airlines Alyemda,73,3,0,3
1982,Qtr 2,May,9,09/05/1982,Yemen,de Havilland,de Havilland Canada DHC 7,Off Aden Yemen,Alyemda,49,47,0,47
1992,Qtr 3,July,14,14/07/1992,Yemen,Antonov,Antonov AN 12,Near Bir Fadl Yemen,Force Air Yemen Unified - Military,57,57,0,57
2012,Qtr 4,November,21,21/11/2012,Yemen,Antonov,Antonov An 26420,San'a Yemen,Force Air Yemen - Military,10,10,0,10
1966,Qtr 4,November,22,22/11/1966,Yemen,Douglas,Douglas DC 3VR,Near Aden Yemen,Airways Aden,30,30,0,30
1923,Qtr 4,December,24,24/12/1923,WYUS,de Havilland,De Havilland DH 4315,Egbert WYUS,Service Mail Aerial,1,1,0,1
1954,Qtr 1,February,26,26/02/1954,Wyoming,Convair,Convair CV 240N8407H,Wright Wyoming,Airlines Western,9,9,0,9
1937,Qtr 4,October,17,17/10/1937,Wyoming,Douglas,Douglas DC 3NC16074,Haydens Peak Wyoming,Lines Air United,19,19,0,19
1955,Qtr 4,October,6,06/10/1955,Wyoming,Douglas,Douglas DC 4N30062,Near Centennial Wyoming,Lines Air United,66,66,0,66
1935,Qtr 2,May,27,27/05/1935,Wyoming,Boeing,Boeing 221NC725W,Glendo Wyoming,Service Air Wyoming,1,1,0,1
1935,Qtr 4,October,7,07/10/1935,Wyoming,Boeing,Boeing 247DNC13317,Near Cheyenne Wyoming,Lines Air United,12,12,0,12
1935,Qtr 3,August,15,15/08/1935,Wyoming,Waco,"Waco, model YLCNC14140",Near Glendo Wyoming,Co Transit Mayflower Aero,3,3,0,3
1946,Qtr 4,October,8,08/10/1946,Wyoming,Douglas,Douglas DC 4N30051,Cheyenne Wyoming,Lines Air United,41,2,0,2
1935,Qtr 4,October,30,30/10/1935,Wyoming,Boeing,Boeing B 247,Cheyenne Wyoming,Lines Air United,4,4,0,4
1928,Qtr 2,April,17,17/04/1928,Wyoming,Boeing,"Boeing 40NC282
NC282",Federal Wyoming,Transport Air Boeing,2,1,0,1
1946,Qtr 4,October,17,17/10/1946,Wyoming,Douglas,Douglas DC 3NC38942,Laramie Wyoming,Services Transport Air National,13,13,0,13
1920,Qtr 4,November,7,07/11/1920,Wyoming,de Havilland,De Havilland DH 4,Tie Siding Wyoming,Service Mail Aerial US,1,1,0,1
2003,Qtr 4,October,29,29/10/2003,Wyoming,Cessna,Cessna 208B Caravan I Super CargomasterN791FE,Cody Wyoming,Fed,1,1,0,1
1950,Qtr 4,November,21,21/11/1950,Wyoming,Douglas,Douglas DC 3N74586,Near Moran Junction Wyoming,Mission Tribes New,21,21,0,21
1996,Qtr 3,August,17,17/08/1996,Wyoming,Lockheed,Lockheed C 130H Hercules74,Near Jackson Hole Wyoming,Force Air U.S. - Military,9,9,0,9
1946,Qtr 1,January,31,31/01/1946,Wyoming,Douglas,Douglas DC 3,Mt. Elk Wyoming,Lines Air United,21,21,0,21
1949,Qtr 4,October,9,09/10/1949,Wyoming,Curtiss,Curtiss C 46E,Cheyenne Wyoming,Airways Slick,4,4,0,4
1921,Qtr 2,May,17,17/05/1921,Wyoming,de Havilland,"De Havilland DH 4
De Havilland DH",Rock Springs Wyoming,Service Mail Aerial US,1,1,0,1
1923,Qtr 1,January,18,18/01/1923,Wyoming,de Havilland,De Havilland DH 4223,Cheyenne Wyoming,Service Mail Aerial US,1,1,0,1
1981,Qtr 4,October,1,01/10/1981,Wyoming,Learjet,Learjet 24N44CJ,Casper Wyoming,Air Train Sky,3,3,0,3
1996,Qtr 2,April,11,11/04/1996,Wyoming,Cessna,Cessna 177BN35207,Cheyenne Wyoming,Private,3,3,0,3
1968,Qtr 3,August,4,04/08/1968,Wisconson,Convair,Convair CV 580 / Cessna 150N4634S / N8742S,Milwaukee Wisconsin,Private / Airlines Central North,15,3,0,3
2006,Qtr 1,February,5,05/02/2006,Wisconson,Shorts,Shorts 360 100 /Shorts 360,Near Watertown Wisconson,Carriers Cargo Air,3,3,0,3
1921,Qtr 1,February,9,09/02/1921,Wisconson,Junkers,Junkers F 13301,La Crosse Wisconsin,Service Mail Aerial US,3,3,0,3
1985,Qtr 3,September,6,06/09/1985,Wisconson,McDonnell,McDonnell Douglas DC 9,Milwaukee Wisconsin,Express Midwest,31,31,0,31
1990,Qtr 3,August,27,27/08/1990,Wisconson,Bell,Bell BHT 206,Elkhorn Wisconsin,Helicopters Omniflight - Private,5,5,0,5
1967,Qtr 4,December,10,10/12/1967,Wisconson,Beechcraft,Beechcraft 18HN390R,Near Madison Wisconsin,Private,8,7,0,7
2007,Qtr 2,June,4,04/06/2007,Wisconson,Cessna,Cessna 550 Citation IIN550BP,Near Milwaukee Wisconson,System Health Michigan of University,6,6,0,6
1972,Qtr 2,June,29,29/06/1972,Wisconson,Convair,Convair CV 580/De Hav. Twin Otter 100N90858/N4043B,Appleton Wisconsin,Wisconsin Air / Airlines Central North,13,13,0,13
1970,Qtr 1,January,13,13/01/1970,Western,Douglas,Douglas DC 35W,Faleolo Western,Airlines SamoaPolynesian,32,32,0,32
1960,Qtr 4,December,17,17/12/1960,West,Convair,Convair C 131D (CV,Munich West,Force Air U.S. - GermanyMilitary,20,20,31,51
1968,Qtr 3,August,10,10/08/1968,West,Fairchild,Fairchild  Hiller FH,Charleston West,Airlines VirginiaPiedmont,37,35,0,35
2017,Qtr 2,May,5,05/05/2017,West,Shorts,Shorts 300 200N334AC,Charleston West,Carriers Cargo VirginiaAir,2,2,0,2
1970,Qtr 4,November,14,14/11/1970,West,McDonnell,McDonnell Douglas DC 9,Near Huntington West,Airways VirginiaSouthern,75,75,0,75
1981,Qtr 1,January,14,14/01/1981,West,Lockheed,Lockheed C 130E Hercules69,Ramstein AFB West,Force Air U.S. - GermanyMilitary,11,11,0,11
1952,Qtr 3,August,26,26/08/1952,West,Bristol,Bristol 170 FreighterG783,Near Khewra West,Force Air Pakistan - PakistanMilitary,18,18,0,18
1951,Qtr 2,April,8,08/04/1951,West,Douglas,Douglas C 47B,Near Charleston West,Force Air U.S. - VirginiaMilitary,21,21,0,21
1968,Qtr 2,April,30,30/04/1968,West,Lockheed,Lockheed Martin L 100,Near Chaklala West,Force Air Pakistan - PakistanMilitary,22,22,0,22
1963,Qtr 2,June,23,23/06/1963,West,Fairchild,Fairchild C 119CP,Near Augustdorf West,Force Air Belgian Royal - GermanyMilitary,47,38,0,38
1958,Qtr 2,June,4,04/06/1958,West,Douglas,Douglas DC 3N49553,Martinsburg West,Airlines VirginiaCapital,3,1,0,1
1959,Qtr 2,May,12,12/05/1959,West,Lockheed,Lockheed C 69 ConstellationN2735A,Charleston West,Airlines VirginiaCapital,44,2,0,2
1945,Qtr 2,April,14,14/04/1945,West,Douglas,Douglas DC 3NC25692,Morgantown West,Airlines Central VirginiaPennsylvania,20,20,0,20
1962,Qtr 2,May,22,22/05/1962,West,Lockheed,Lockheed C121J131390,Near Markt Schwaben West,Navy U.S. - GermanyMilitary,26,26,0,26
1982,Qtr 3,September,11,11/09/1982,West,Boeing,Boeing Vertol CH 47C (helicopter)74,Near Mannheim West,Army U.S. - GermanyMilitary,46,46,0,46
1953,Qtr 2,May,2,02/05/1953,West,de Havilland,de Havilland DH106 Comet 1G ALYV,Near Jalalogori West,India          Bengal British Overseas Airways,43,43,0,43
1955,Qtr 3,August,11,11/08/1955,West,Fairchild,Fairchild C119G / Fairchild C119G53 3222/53,Near Edelweiler West,Air U.S. - Military / Force Air U.S. - GermanyMilitary,67,67,0,67
1942,Qtr 3,July,1,01/07/1942,West,Douglas,Douglas C 49E42,Near Premier West,Forces Air Army U.S. - VirginiaMilitary,21,21,0,21
1957,Qtr 4,November,3,03/11/1957,West,Douglas,Douglas DC 4D,Dusseldorf West,Company GermanyHerfurtner,10,7,1,8
1979,Qtr 1,February,12,12/02/1979,West,Nord,Nord 262N29824,Clarksburg West,Airlines VirginiaAllegheny,25,2,0,2
1992,Qtr 4,October,7,07/10/1992,West,Lockheed,Lockheed C 130E Hercules63,Berkeley Springs West,Airforce U.S. - VirginiaMiltiary,6,6,0,6
1978,Qtr 4,November,18,18/11/1978,West,de Havilland,de Havilland Canada DHC 6 Twin Otter 300F,Off Marie Galante Island West,Guadeloupe IndiesAir,20,15,0,15
1971,Qtr 4,October,2,02/10/1971,West,Vickers,Vickers Vanguard 951G APEC,Near Aarsele West,Belgium          Vlaanderen British European Airways,63,63,0,63
1929,Qtr 1,January,31,31/01/1929,West,Travel,Travel Air 4000NC6480,Morgantown West,Company Transportation VirginiaSkyline,1,1,0,1
1971,Qtr 3,August,18,18/08/1971,West,Boeing,Boeing Vertol CH 47A (helicopter)66,Near Pegnitz West,Army U.S. - GermanyMilitary,37,37,0,37
1929,Qtr 4,October,31,31/10/1929,Washington,Loening,Loening C 2CNC9158,Off Bremerton Washington,Lines Air Gorst / Taxi Air Bremerton-Seattle,2,2,0,2
1951,Qtr 1,January,16,16/01/1951,Washington,Martin,Martin 202N93054,Near Reardan Washington,Airlines Orient Northwest,10,10,0,10
1952,Qtr 4,November,28,28/11/1952,Washington,Douglas,Douglas C 54G (DC,Near Tacoma Washington,Force Air U.S. - Military,38,37,0,37
1962,Qtr 3,September,10,10/09/1962,Washington,Boeing,Boeing KC 135A60,Near Milan Washington,Force Air U.S. - Military,44,44,0,44
1929,Qtr 4,November,30,30/11/1929,Washington,Stearman,Stearman M 2 SpeedmailNC8199,Vancouver Washington,Lines Air Varney,1,1,0,1
1928,Qtr 4,December,10,10/12/1928,Washington,Ford,Ford Tri motor 4NC7687,Spokan Washington,Airways Spokane,5,5,0,5
1949,Qtr 3,July,19,19/07/1949,Washington,Curtiss,Curtiss C 46F,Seattle Washington,Associates Transport Air,32,2,4,6
1949,Qtr 1,January,2,02/01/1949,Washington,Douglas,Douglas DC 3 (C,Seattle Washington,Charter Air Seattle,30,14,0,14
1947,Qtr 4,November,30,30/11/1947,Washington,Douglas,Douglas C 54ANC,Seattle Washington,Airlines Alaska,28,8,1,9
1975,Qtr 1,March,20,20/03/1975,Washington,Lockheed,Lockheed C 141A (L.300)64,Near Quilcene Washington,Force Air U.S. - Military,16,16,0,16
1931,Qtr 1,January,22,22/01/1931,Washington,Boeing,Boeing 40NC741K,Bluff Mountain Washington,Lines Air Varney,1,1,0,1
1958,Qtr 3,September,8,08/09/1958,Washington,Boeing,Boeing B 52 / Boeing B,Near Fairchild AFB Washington,Force Air U.S. / Force Air U.S. - Military,16,13,0,13
1957,Qtr 1,March,2,02/03/1957,Washington,Douglas,Douglas C 54BN90449,Blyn Washington,Airlines Alaska,5,5,0,5
1961,Qtr 2,May,24,24/05/1961,Washington,Douglas,Douglas C 124A,Near Tacoma Washington,Force Air U.S. - Military,22,22,0,22
1953,Qtr 2,April,14,14/04/1953,Washington,Douglas,Douglas DC 3 (C,Selleck Washington,Airlines Miami,25,7,0,7
1953,Qtr 3,September,1,01/09/1953,Washington,Douglas,Douglas DC 3N19941,Vail Washington,Airlines Cargo Regina,21,21,0,21
1943,Qtr 1,February,18,18/02/1943,Washington,Boeing,Boeing XB 2941,Seattle Washington,Company Aircraft Boeing - Private,10,10,20,30
1956,Qtr 2,April,2,02/04/1956,Washington,Boeing,Boeing 377 Stratocruiser 10 30N74608,Seattle Washington,Airlines Orient Northwest,38,5,0,5
1955,Qtr 4,November,17,17/11/1955,Washington,Douglas,Douglas C 54N88852,Seattle Washingon,Peninsular,74,28,0,28
2008,Qtr 2,May,17,17/05/2008,Washington,de Havilland,de Havilland Canada DHC 2 Mark I BeaverN5998Q,Stehekin Washington,Service Air Chelan,5,2,0,2
2014,Qtr 1,March,18,18/03/2014,Washington,Urocopter,Urocopter AS350 B2N250FB,Seattle Washington,TV KOMO / Inc Helicopters,2,2,0,2
1931,Qtr 4,November,26,26/11/1931,Washington,Boeing,Boeing 40NC10338,Pasco Washington,Lines Air Varney,1,1,0,1
1952,Qtr 4,December,20,20/12/1952,Washington,Douglas,Douglas C 124A Globemaster50,Moses Lake Washington,Force Air U.S. - Military,115,87,0,87
1965,Qtr 2,April,23,23/04/1965,Washington,Douglas,Douglas DC 6AN6541C,Near Seattle Washington,Airlines Aaxico,5,5,0,5
1946,Qtr 4,December,10,10/12/1946,Washington,Curtiss,Curtiss  Wright R5C,Toledo Washington,Corps Marine U.S. - Military,32,32,0,32
1939,Qtr 1,March,18,18/03/1939,Washington,Boeing,Boeing 307 StratolinerNX19901,Near Adler Washington,Company Aircraft Boeing,10,10,0,10
1953,Qtr 1,January,7,07/01/1953,Washington,Douglas,Douglas C 54B,Issaquah Washington,Line Tiger Flying,7,7,0,7
1987,Qtr 1,March,13,13/03/1987,Washington,Boeing,Boeing KC 13560,Spokane Washington,Force Air U.S. - Military,6,6,1,7
1994,Qtr 1,March,18,18/03/1994,Washington,Douglas,Douglas DC 3CN3433Y,Spokane Washington,Salair,2,2,0,2
1981,Qtr 1,January,20,20/01/1981,Washington,Beechcraft,Beechcraft 99AN390CA,Spokane Washington,Airways Cascade,9,7,0,7
1978,Qtr 1,February,10,10/02/1978,Washington,Beechcraft,Beechcraft 99N199EA,Richland Washington,Airlines Pacific Columbia,17,17,0,17
2003,Qtr 4,November,29,29/11/2003,Washington,Swearingen,Swearingen SA227AT Merlin IVCN439AF,Spokane Washington,Ameriflight,1,1,0,1
1989,Qtr 4,December,26,26/12/1989,Washington,British,British Aerospace 3101 Jetstream 31N410UE,Pasco Washington,Express United,6,6,0,6
1949,Qtr 1,February,19,19/02/1949,Warks,Douglas,Douglas DC 3 / Avro AnsonG,Near Coventry Warks,England British European Airways / Military - British,14,14,0,14
1965,Qtr 1,February,8,08/02/1965,Wantagh,Douglas,Douglas DC 7BN849D,Off Jones Beach Wantagh,New York Eastern Air Lines,84,84,0,84
1968,Qtr 4,December,31,31/12/1968,WA,Vickers,Vickers Viscount 720VH RMQ,Port Hedland WA,Australia Mac,26,26,0,26
1963,Qtr 1,March,15,15/03/1963,Volcano,Douglas,Douglas DC 6BCP,Near Tacora Volcano,Peru Lloyd Aereo Boliviano,39,39,0,39
1985,Qtr 1,February,19,19/02/1985,Vizcaya,Boeing,Boeing B 727,Near Durango Vizcaya,Spain Iberia Airlines,148,148,0,148
2001,Qtr 3,September,11,11/09/2001,VirginiaAmerican,Boeing,Boeing B 757,Arlington Virginia.American,Airlines,64,64,125,189
1961,Qtr 4,November,8,08/11/1961,Virginia,Lockheed,Lockheed C 69 ConstellationN2737A,Near Richmond Virginia,Airways Imperial,79,76,0,76
1908,Qtr 3,September,17,17/09/1908,Virginia,Wright,Wright Flyer III,Fort Myer Virginia,Army U.S. - Military,2,1,0,1
1959,Qtr 4,October,30,30/10/1959,Virginia,Douglas,Douglas DC 3N55V,Waynesborough Virginia,Airlines Piedmont,27,26,0,26
1940,Qtr 3,August,31,31/08/1940,Virginia,Douglas,Douglas DC 3NC21789,Near Lovettsville Virginia,Airlines Central Pennsylvania,25,25,0,25
1960,Qtr 1,January,18,18/01/1960,Virginia,Vickers,Vickers Viscount 745DN7462,Charles City Virginia,Airlines Capital,50,50,0,50
1971,Qtr 2,May,28,28/05/1971,Virginia,Aero,Aero Commander 680EN601JJ,Roanoke Virginia,Private,6,6,0,6
1922,Qtr 1,February,21,21/02/1922,Virginia,Dirigible,Dirigible Roma (airship),Near Norfolk Virginia,Service Air Army U.S. - Military,45,34,0,34
1974,Qtr 4,December,1,01/12/1974,Virginia,Boeing,Boeing B 727,Near Berryville Virginia,Airlines World Trans,92,92,0,92
1964,Qtr 3,July,16,16/07/1964,Virginia,Douglas,Douglas DC 7BN809D,Richmond Virginia,Lines Air Eastern,76,0,0,0
1933,Qtr 2,June,4,04/06/1933,Virginia,Pitcairn,Pitcairns PA 6,Bowling Green Virginia,Transport Air Eastern,1,1,0,1
2004,Qtr 4,October,24,24/10/2004,Virginia,Beech,Beech 200 Super King AirN501RH,Martinsville Virginia,Inc. Motorsports Hendrick - Private,10,10,0,10
1949,Qtr 4,November,1,01/11/1949,Virginia,Douglas,Douglas C 54B / P,Arlington Virginia,Force Air Bolivian - Military / Lines Air Eastern,55,55,0,55
1994,Qtr 2,June,18,18/06/1994,Virginia,Learjet,Learjet 25DXA BBA,Chantilly Virginia,TAESA,12,12,0,12
1945,Qtr 1,February,23,23/02/1945,Virginia,Douglas,Douglas DC 3NC18142,Marion Virginia,Airlines American,22,17,0,17
1947,Qtr 1,January,12,12/01/1947,Virginia,Douglas,Douglas DC 3NC88872,Near Galax Virginia,Lines Air Eastern,19,18,0,18
1947,Qtr 2,June,13,13/06/1947,Virginia,Douglas,Douglas DC 4 (C,Leesburg Virginia,Airlines Central Pennsylvania,50,50,0,50
1996,Qtr 4,December,22,22/12/1996,Virginia,McDonnell,McDonnell Douglas DC 8,Narrows Virginia,Express Airborne,6,6,0,6
1946,Qtr 2,May,16,16/05/1946,Virginia,Douglas,Douglas DC 3NC53218,Richmond Virginia,Transport Air Viking,27,27,0,27
1965,Qtr 3,July,15,15/07/1965,Virgin,de Havilland,de Havilland 106AN6503D,St. Thomas Virgin,Airways Islands IslandsVirgin,12,8,0,8
1970,Qtr 4,December,28,28/12/1970,Virgin,Boeing,Boeing B 727,St. Thomas Virgin,Airways Caribbean IslandsTrans,55,2,0,2
1979,Qtr 3,July,24,24/07/1979,Virgin,de Havilland,de Havilland DH 114 HeronN575PR,St. Croix Virgin,IslandsPrinair,21,8,0,8
1976,Qtr 2,April,27,27/04/1976,Virgin,Boeing,Boeing B 727,St. Thomas Virgin,Airlines IslandsAmerican,88,37,0,37
1978,Qtr 2,April,5,05/04/1978,Virgin,Grumman,Grumman G 21N877A,St. Thomas Virgin,Air IslandsAntilles,9,2,0,2
1976,Qtr 1,February,21,21/02/1976,Virgin,Grumman,Grumman G 21A seaplaneN4772C,St. Croix Virgin,Air IslandsAntilles,11,5,0,5
2014,Qtr 3,July,7,07/07/2014,Vietnam,Mil,Mil Mi 171,Thach That district Vietnam,Force Air Army People's Vietnam - Military,19,18,0,18
1976,Qtr 3,August,28,28/08/1976,Vietnam,Sud,Sud Aviation SE 210 Caravelle IIIF BSGZ,Ho Chi Minh City Vietnam,France Air,20,1,0,1
1953,Qtr 4,October,17,17/10/1953,Vietnam,Douglas,Douglas C 47BF,Lai Chau Vietnam,Sila Compagnie,7,2,0,2
1954,Qtr 2,June,8,08/06/1954,Vietnam,Douglas,Douglas C 47,Da Nang Vietnam,Orient d'Extrême Aériens Tr. de Soc.,4,4,0,4
1965,Qtr 4,October,18,18/10/1965,Vietnam,Boeing,Boeing 307 Stratoliner B 1F,Near Hanoi Vietnam,Commision Control International,13,13,0,13
1965,Qtr 3,September,27,27/09/1965,Vietnam,Beechcraft,Beechcraft C 45HN9574Z,Bao Trai Vietnam,America Air,3,3,0,3
1953,Qtr 1,February,3,03/02/1953,Vietnam,Douglas,Douglas C 47B,Lai Chau Vietnam,Outremer Air,18,18,0,18
1950,Qtr 1,March,10,10/03/1950,Vietnam,Bristol,Bristol 170 Freighter 21F BECR,Saigon Vietnam,Aeriens Transport de Indochinoise Societe,4,4,0,4
1953,Qtr 1,March,17,17/03/1953,Vietnam,Douglas,Douglas DC 3F,Off Da Nang Vietnam,Azur Aigle,8,8,0,8
1953,Qtr 2,April,16,16/04/1953,Vietnam,Douglas,Douglas DC 3F,NW of Hanoi Vietnam,Azur Aigle,30,30,0,30
1992,Qtr 4,November,14,14/11/1992,Vietnam,Yakovlev,Yakovlev YAK 40VN,Near Nha Trang Vietnam,Airlines Vietnam,31,30,0,30
1972,Qtr 2,June,5,05/06/1972,Vietnam,Curtiss,Curtiss C 46AEM2,Near Pleiku Vietnam,America Air,32,32,0,32
1970,Qtr 3,September,30,30/09/1970,Vietnam,Douglas,Douglas DC 3,Near Da Nang Vietnam,Vietnam) (South Vietnam Air,38,4,0,4
1974,Qtr 1,March,8,08/03/1974,Vietnam,Antonov,Antonov An 24XW,Hanoi Vietnam,Airlines Lao Pathet,18,18,0,18
1975,Qtr 1,January,3,03/01/1975,Vietnam,Fairchild,Fairchild C 123KST,Near Nha Trang Vietnam,America Air,9,9,0,9
1974,Qtr 3,July,27,27/07/1974,Vietnam,Fairchild,Fairchild C 123KST,Near Moc Hoa Vietnam,Amercia Air,5,5,0,5
1968,Qtr 2,May,12,12/05/1968,Vietnam,Lockheed,Lockheed C 130B Hercules60,Kham Duc Vietnam,Force Air U.S. - Military,155,155,0,155
1966,Qtr 4,October,4,04/10/1966,Vietnam,de Havilland,de Havilland Canada CV 2B Caribou63,An Khe Vietnam,Army U.S. - Military,32,14,0,14
1969,Qtr 1,January,16,16/01/1969,Vietnam,Douglas,Douglas C 47 Skytrain (DC,Near Hue Vietnam,America Air,12,12,0,12
1969,Qtr 4,December,22,22/12/1969,Vietnam,Douglas,Douglas DC 6BB,Nha Trang Vietnam,Vietnam) (South Vietnam Air,77,10,24,34
1969,Qtr 3,September,20,20/09/1969,Vietnam,Douglas,Douglas DC 4 / USAF F,Near Hoi An Vietnam,Vietnam) (South Vietnam Air,76,74,2,76
1954,Qtr 2,April,4,04/04/1954,Vietnam,Douglas,Douglas C 54AF,Hanoi Vietnam,Autrex,4,4,0,4
2001,Qtr 2,April,7,07/04/2001,Vietnam,Mil,Mil Mi 18 HelicopterVN,Thanh Tranh Village Vietnam,Account Full - Charter - Vietnam SFC,16,16,0,16
2017,Qtr 1,February,21,21/02/2017,Victoria,Beechcraft,Beechcraft B200 Super King AirVH ZCR,Melbourne Victoria,Australia Australian Corporate Jet Centres PTY. LTD,5,5,0,5
1935,Qtr 4,October,2,02/10/1935,Victoria,de Havilland,de Havilland DH 86VH,Off Finders Island Victoria,Australia Holyman Airways,5,5,0,5
2006,Qtr 3,August,4,04/08/2006,Vermont,Embraer,Embraer 110 BandeiranteN59BA,Near Pownal Vermont,Air,1,1,0,1
1991,Qtr 3,September,18,18/09/1991,Vermont,Convair,Convair CV 580C,Belvedere Center Vermont,Cargo Canair,2,2,0,2
