Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1994,Qtr 3,September,26,26/09/1994,Russia,Yakovlev,Yakovlev YAK 40RA,Near Vanavera Russia,Airlines Cheremshanka,28,28,0,28
1965,Qtr 1,March,8,08/03/1965,Russia,Tupolev,Tupolev Tu 124VCCCP,Kuibyshev  Russia,Aeroflot,30,30,0,30
1965,Qtr 1,March,2,02/03/1965,Russia,Ilyushin,Li  2CCCP,Near Aradan Russia,Aeroflot,31,31,0,31
1994,Qtr 4,October,29,29/10/1994,Russia,Antonov,Antonov AN 2RA,Batagaj Russia,Yakutavia,19,7,0,7
1994,Qtr 4,October,29,29/10/1994,Russia,Antonov,Antonov AN 12ARA,Near Ust'-Ilimsk Russia,Aeronica,23,23,0,23
1942,Qtr 4,November,17,17/11/1942,Russia,Grazhdansky,Grazhdansky Vozdushnyi Flot PS 84CCCP,Near Kranoyarsk Russia,Trassy Vozhjushnye Kranoyarskie,20,20,0,20
1963,Qtr 2,April,4,04/04/1963,Russia,Ilyushin,"Ilyushin IL 18	 CCCP",Tatarstan Russia,Aeroflot,67,67,0,67
1996,Qtr 2,April,5,05/04/1996,Russia,Ilyushin,Ilyushin IL 76TDRA,Near Petropavlovsk Russia,Avialinii Krasnoyarskie,20,20,0,20
1963,Qtr 3,August,21,21/08/1963,Russia,Tupolev,Tupolev Tu 124CCCP,Near Leningrad  Russia,Aeroflot,52,0,0,0
1963,Qtr 3,July,13,13/07/1963,Russia,Tupolev,Tupolev TU 104BCCCP42492,Near Irkutsk Russia,Aeroflot,32,32,0,32
1963,Qtr 1,January,14,14/01/1963,Russia,sunov,Lisunov LI 2CCCP,Tazovskoye Russia,Aeroflot,25,12,0,12
1946,Qtr 4,November,5,05/11/1946,Russia,Douglas,Douglas C 47SSSR,Near Moscow Russia,Aeroflot,26,13,0,13
2010,Qtr 3,August,3,03/08/2010,Russia,Antonov,Antonov An 24 VRA,Igarka Russia,Airline Katekavia,15,12,0,12
2008,Qtr 2,May,26,26/05/2008,Russia,Antonov,Antonov AN 12RA,Near Chelyabinsk Russia,Airlines Moskovia,9,9,0,9
1963,Qtr 3,August,24,24/08/1963,Russia,Ilyushin,Ilyushin IL 14PCCCP,Near Kutaisa Russia,Aeroflot,32,32,0,32
1995,Qtr 3,September,24,24/09/1995,Russia,Mil,Mil Mi 8TRA,Sterligov Cape Russia,Company Flight Norilsk,15,15,0,15
