Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1969,Qtr 1,March,16,1969-03-16,Zulia,Mcdonnell,Mcdonnell Douglas Dc 9,Maracaibo Zulia,Venezuela Venezolana Internacional De Aviacion,84,84,71,155
2017,Qtr 1,March,27,2017-03-27,Zimbabwe,Britten,Britten  Norman Bn2 Islanderc9,Mautaer Zimbabwe,Charter Air Eta,6,6,0,6
1961,Qtr 4,November,22,1961-11-22,Zimbabwe,Vp,Vp  Yrx,Harare Zimbabwe,Services Air Rhodesian,3,3,0,3
1958,Qtr 4,December,26,1958-12-26,Zimbabwe,Douglas,Douglas Dc 6Bf,Salisbury Zimbabwe,Zimbabwe)Union Aeromaritime De Transport          (Harare,70,3,0,3
1990,Qtr 1,February,17,1990-02-17,Zambia,Dhc,Dhc  5 Buffaloaf316,Near Ngwerere Zambia,Force Air Zambian - Military,29,29,0,29
2005,Qtr 2,May,18,2005-05-18,Zambia,Yunshuji,Yunshuji Y 12Af,Mongu Zambia,Force Air Zambia - Military,13,13,0,13
1977,Qtr 2,May,14,1977-05-14,Zambia,Boeing,Boeing 707 321Cg,Near Lusaka Zambia,Cargo Ias,6,6,0,6
1961,Qtr 3,September,17,1961-09-17,Zambia,Douglas,Douglas Dc 6Bse,Ndola Zambia,Sweden Transair,16,16,0,16
1997,Qtr 3,September,12,1997-09-12,Zaire,De Havilland,De Havilland Canada Dhc 6 Twin Otter 3009Q,Near Uvira Zaire,Commuter Air Tmk,22,22,0,22
1996,Qtr 1,January,8,1996-01-08,Zaire,Antonov,Antonov An 32Bra,Kinshasa Zaire,Air African,6,2,225,227
1960,Qtr 3,July,19,1960-07-19,Zaire,Fairchild,Fairchild C 119Gcp,Near Goma Zaire,Force Air Belgian Royal - Military,41,37,0,37
1949,Qtr 3,August,27,1949-08-27,Zaire,Douglas,Douglas C 47B,Leopoldville Zaire,Sabena,20,5,0,5
1990,Qtr 2,April,20,1990-04-20,Zaire,Lockheed,Lockheed C 130H9T,Near Kinshasa Zaire,Force Air Zairean - Military,24,20,0,20
1969,Qtr 2,April,16,1969-04-16,Zaire,Curtiss,Curtiss C 469T,Kinshasa Zaire,Wigmo,45,45,0,45
1986,Qtr 1,February,5,1986-02-05,Zaire,Lockheed,Lockheed L 188Af Electra9Q,Kasongo Zaire,Aviation Glm,14,2,0,2
1980,Qtr 3,September,17,1980-09-17,Zaire,De Havilland,De Havilland Dhc 5 Buffalo9T,Near Kindu Zaire,Force Air Zairean - Military,36,36,0,36
1974,Qtr 3,August,18,1974-08-18,Zaire,Lockheed,Lockheed C 130H9T,Near Kisangani Zaire,Force Air Zairean - Military,31,31,0,31
1980,Qtr 3,September,14,1980-09-14,Zaire,Lockheed,Lockheed Hercules C 1309T,Kindu Zaire,Zaïroise Aérienne Force - Military,36,36,0,36
1984,Qtr 3,September,11,1984-09-11,Zaire,Handley,Handley Page Dart Herald 2029Q Cah,Near The Kwango River Zaire,Services Aero Mmm,30,30,0,30
2010,Qtr 3,September,21,2010-09-21,Zabul,Sirkorsky,Sikorsky Uh 60 Black Hawk	93,Chopan District Zabul,Afghanistan          Province International Security Assistance Force,13,10,0,10
1944,Qtr 4,November,10,1944-11-10,Yunan,Lockheed,Lockheed Hudson,Near Kumming Yunan,China Catc,20,20,0,20
1950,Qtr 1,January,26,1950-01-26,Yukon,Douglas,Douglas C 54D,Near Snag Yukon,Force Air U.S. - Territorymilitary,44,44,0,44
1973,Qtr 3,September,11,1973-09-11,Yugoslavia,Aerospatiale,Aerospatiale Caravelle 6Nyu Ahd,Moganik Yugoslavia,Airlines Yugoslav Jat,41,41,0,41
1944,Qtr 2,April,17,1944-04-17,Yugoslavia,Junkers,Junkers Ju 52/3Md,Belgrad Yugoslavia,Lufthansa Deutsche,7,5,0,5
1971,Qtr 2,May,23,1971-05-23,Yugoslavia,Tupolev,Tupolev Tu 134Ayu,Near Rijeka Yugoslavia,(Yugoslavia) Aviogenex,83,78,0,78
1951,Qtr 4,October,22,1951-10-22,Yugoslavia,Douglas,Douglas Dc 3Yu,Skopje Yugoslavia,Airlines Yugoslav Jat,12,12,0,12
1951,Qtr 2,June,29,1951-06-29,Yugoslavia,Junkers,Junkers 52/3Myu Ace,Near Rijeka Yugoslavia,Airlines Yugoslav Jat,14,14,0,14
1944,Qtr 3,September,2,1944-09-02,Yugoslavia,Junkers,Junkers Ju52/3Md Auaw,Belgrad Yugoslavia,Lufthansa Deutsche,5,5,0,5
1947,Qtr 4,November,27,1947-11-27,Yugoslavia,Sunov,Lisunov Li 2Yu,Montenegrin Mountains Yugoslavia,Airlines Yugoslav Jat,22,22,0,22
1996,Qtr 3,August,19,1996-08-19,Yugoslavia,Illyushin,Ilyushin Il 76Tra,Belgrade Yugosalvia,Transport Air Spair,12,12,0,12
1933,Qtr 3,September,12,1933-09-12,Yugoslavia,Farman,Farman F 306Yu,Near Ljubljana Yugoslavia,Aeroput,8,8,0,8
1944,Qtr 1,January,15,1944-01-15,Yugoslavia,Junkers,Junkers Ju 52/3Md,Belgrad Yugoslavia,Lufthansa Deutsche,5,5,0,5
1950,Qtr 3,September,21,1950-09-21,Yugoslavia,Douglas,Douglas Dc 3Yu,Near Zagreb Yugoslavia,Airlines Yugoslav Jat,11,10,0,10
1964,Qtr 4,October,19,1964-10-19,Yugoslavia,Illyushin,Ilyushin Il 18Cccp,Near Belgrade Yugoslavia,Force Air Soviet - Military,33,33,0,33
2010,Qtr 1,February,14,2010-02-14,Yemen,Helicopter,Helicopter,Near Saada Yemen,Arm Yemeni - Military,11,11,2,13
1977,Qtr 1,March,1,1977-03-01,Yemen,Douglas,Douglas Dc 37O,Off Aden Yemen,Alyemda,21,19,0,19
1985,Qtr 3,August,15,1985-08-15,Yemen,Boeing,Boeing 707 336C7O,Aden Yemen,Airlines Alyemda,73,3,0,3
1982,Qtr 2,May,9,1982-05-09,Yemen,De Havilland,De Havilland Canada Dhc 7,Off Aden Yemen,Alyemda,49,47,0,47
1992,Qtr 3,July,14,1992-07-14,Yemen,Antonov,Antonov An 12,Near Bir Fadl Yemen,Force Air Yemen Unified - Military,57,57,0,57
2012,Qtr 4,November,21,2012-11-21,Yemen,Antonov,Antonov An 26420,San'A Yemen,Force Air Yemen - Military,10,10,0,10
1966,Qtr 4,November,22,1966-11-22,Yemen,Douglas,Douglas Dc 3Vr,Near Aden Yemen,Airways Aden,30,30,0,30
1923,Qtr 4,December,24,1923-12-24,Wyus,De Havilland,De Havilland Dh 4315,Egbert Wyus,Service Mail Aerial,1,1,0,1
1954,Qtr 1,February,26,1954-02-26,Wyoming,Convair,Convair Cv 240N8407H,Wright Wyoming,Airlines Western,9,9,0,9
1937,Qtr 4,October,17,1937-10-17,Wyoming,Douglas,Douglas Dc 3Nc16074,Haydens Peak Wyoming,Lines Air United,19,19,0,19
1955,Qtr 4,October,6,1955-10-06,Wyoming,Douglas,Douglas Dc 4N30062,Near Centennial Wyoming,Lines Air United,66,66,0,66
1935,Qtr 2,May,27,1935-05-27,Wyoming,Boeing,Boeing 221Nc725W,Glendo Wyoming,Service Air Wyoming,1,1,0,1
1935,Qtr 4,October,7,1935-10-07,Wyoming,Boeing,Boeing 247Dnc13317,Near Cheyenne Wyoming,Lines Air United,12,12,0,12
1935,Qtr 3,August,15,1935-08-15,Wyoming,Waco,"Waco, Model Ylcnc14140",Near Glendo Wyoming,Co Transit Mayflower Aero,3,3,0,3
1946,Qtr 4,October,8,1946-10-08,Wyoming,Douglas,Douglas Dc 4N30051,Cheyenne Wyoming,Lines Air United,41,2,0,2
1935,Qtr 4,October,30,1935-10-30,Wyoming,Boeing,Boeing B 247,Cheyenne Wyoming,Lines Air United,4,4,0,4
1928,Qtr 2,April,17,1928-04-17,Wyoming,Boeing,"Boeing 40Nc282
Nc282",Federal Wyoming,Transport Air Boeing,2,1,0,1
1946,Qtr 4,October,17,1946-10-17,Wyoming,Douglas,Douglas Dc 3Nc38942,Laramie Wyoming,Services Transport Air National,13,13,0,13
1920,Qtr 4,November,7,1920-11-07,Wyoming,De Havilland,De Havilland Dh 4,Tie Siding Wyoming,Service Mail Aerial Us,1,1,0,1
2003,Qtr 4,October,29,2003-10-29,Wyoming,Cessna,Cessna 208B Caravan I Super Cargomastern791Fe,Cody Wyoming,Fed,1,1,0,1
1950,Qtr 4,November,21,1950-11-21,Wyoming,Douglas,Douglas Dc 3N74586,Near Moran Junction Wyoming,Mission Tribes New,21,21,0,21
1996,Qtr 3,August,17,1996-08-17,Wyoming,Lockheed,Lockheed C 130H Hercules74,Near Jackson Hole Wyoming,Force Air U.S. - Military,9,9,0,9
1946,Qtr 1,January,31,1946-01-31,Wyoming,Douglas,Douglas Dc 3,Mt. Elk Wyoming,Lines Air United,21,21,0,21
1949,Qtr 4,October,9,1949-10-09,Wyoming,Curtiss,Curtiss C 46E,Cheyenne Wyoming,Airways Slick,4,4,0,4
1921,Qtr 2,May,17,1921-05-17,Wyoming,De Havilland,"De Havilland Dh 4
De Havilland Dh",Rock Springs Wyoming,Service Mail Aerial Us,1,1,0,1
1923,Qtr 1,January,18,1923-01-18,Wyoming,De Havilland,De Havilland Dh 4223,Cheyenne Wyoming,Service Mail Aerial Us,1,1,0,1
1981,Qtr 4,October,1,1981-10-01,Wyoming,Learjet,Learjet 24N44Cj,Casper Wyoming,Air Train Sky,3,3,0,3
1996,Qtr 2,April,11,1996-04-11,Wyoming,Cessna,Cessna 177Bn35207,Cheyenne Wyoming,Private,3,3,0,3
1968,Qtr 3,August,4,1968-08-04,Wisconson,Convair,Convair Cv 580 / Cessna 150N4634S / N8742S,Milwaukee Wisconsin,Private / Airlines Central North,15,3,0,3
2006,Qtr 1,February,5,2006-02-05,Wisconson,Shorts,Shorts 360 100 /Shorts 360,Near Watertown Wisconson,Carriers Cargo Air,3,3,0,3
1921,Qtr 1,February,9,1921-02-09,Wisconson,Junkers,Junkers F 13301,La Crosse Wisconsin,Service Mail Aerial Us,3,3,0,3
1985,Qtr 3,September,6,1985-09-06,Wisconson,Mcdonnell,Mcdonnell Douglas Dc 9,Milwaukee Wisconsin,Express Midwest,31,31,0,31
1990,Qtr 3,August,27,1990-08-27,Wisconson,Bell,Bell Bht 206,Elkhorn Wisconsin,Helicopters Omniflight - Private,5,5,0,5
1967,Qtr 4,December,10,1967-12-10,Wisconson,Beechcraft,Beechcraft 18Hn390R,Near Madison Wisconsin,Private,8,7,0,7
2007,Qtr 2,June,4,2007-06-04,Wisconson,Cessna,Cessna 550 Citation Iin550Bp,Near Milwaukee Wisconson,System Health Michigan Of University,6,6,0,6
1972,Qtr 2,June,29,1972-06-29,Wisconson,Convair,Convair Cv 580/De Hav. Twin Otter 100N90858/N4043B,Appleton Wisconsin,Wisconsin Air / Airlines Central North,13,13,0,13
1970,Qtr 1,January,13,1970-01-13,Western,Douglas,Douglas Dc 35W,Faleolo Western,Airlines Samoapolynesian,32,32,0,32
1960,Qtr 4,December,17,1960-12-17,West,Convair,Convair C 131D (Cv,Munich West,Force Air U.S. - Germanymilitary,20,20,31,51
1968,Qtr 3,August,10,1968-08-10,West,Fairchild,Fairchild  Hiller Fh,Charleston West,Airlines Virginiapiedmont,37,35,0,35
2017,Qtr 2,May,5,2017-05-05,West,Shorts,Shorts 300 200N334Ac,Charleston West,Carriers Cargo Virginiaair,2,2,0,2
1970,Qtr 4,November,14,1970-11-14,West,Mcdonnell,Mcdonnell Douglas Dc 9,Near Huntington West,Airways Virginiasouthern,75,75,0,75
1981,Qtr 1,January,14,1981-01-14,West,Lockheed,Lockheed C 130E Hercules69,Ramstein Afb West,Force Air U.S. - Germanymilitary,11,11,0,11
1952,Qtr 3,August,26,1952-08-26,West,Bristol,Bristol 170 Freighterg783,Near Khewra West,Force Air Pakistan - Pakistanmilitary,18,18,0,18
1951,Qtr 2,April,8,1951-04-08,West,Douglas,Douglas C 47B,Near Charleston West,Force Air U.S. - Virginiamilitary,21,21,0,21
1968,Qtr 2,April,30,1968-04-30,West,Lockheed,Lockheed Martin L 100,Near Chaklala West,Force Air Pakistan - Pakistanmilitary,22,22,0,22
1963,Qtr 2,June,23,1963-06-23,West,Fairchild,Fairchild C 119Cp,Near Augustdorf West,Force Air Belgian Royal - Germanymilitary,47,38,0,38
1958,Qtr 2,June,4,1958-06-04,West,Douglas,Douglas Dc 3N49553,Martinsburg West,Airlines Virginiacapital,3,1,0,1
1959,Qtr 2,May,12,1959-05-12,West,Lockheed,Lockheed C 69 Constellationn2735A,Charleston West,Airlines Virginiacapital,44,2,0,2
1945,Qtr 2,April,14,1945-04-14,West,Douglas,Douglas Dc 3Nc25692,Morgantown West,Airlines Central Virginiapennsylvania,20,20,0,20
1962,Qtr 2,May,22,1962-05-22,West,Lockheed,Lockheed C121J131390,Near Markt Schwaben West,Navy U.S. - Germanymilitary,26,26,0,26
1982,Qtr 3,September,11,1982-09-11,West,Boeing,Boeing Vertol Ch 47C (Helicopter)74,Near Mannheim West,Army U.S. - Germanymilitary,46,46,0,46
1953,Qtr 2,May,2,1953-05-02,West,De Havilland,De Havilland Dh106 Comet 1G Alyv,Near Jalalogori West,India          Bengal British Overseas Airways,43,43,0,43
1955,Qtr 3,August,11,1955-08-11,West,Fairchild,Fairchild C119G / Fairchild C119G53 3222/53,Near Edelweiler West,Air U.S. - Military / Force Air U.S. - Germanymilitary,67,67,0,67
1942,Qtr 3,July,1,1942-07-01,West,Douglas,Douglas C 49E42,Near Premier West,Forces Air Army U.S. - Virginiamilitary,21,21,0,21
1957,Qtr 4,November,3,1957-11-03,West,Douglas,Douglas Dc 4D,Dusseldorf West,Company Germanyherfurtner,10,7,1,8
1979,Qtr 1,February,12,1979-02-12,West,Nord,Nord 262N29824,Clarksburg West,Airlines Virginiaallegheny,25,2,0,2
1992,Qtr 4,October,7,1992-10-07,West,Lockheed,Lockheed C 130E Hercules63,Berkeley Springs West,Airforce U.S. - Virginiamiltiary,6,6,0,6
1978,Qtr 4,November,18,1978-11-18,West,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300F,Off Marie Galante Island West,Guadeloupe Indiesair,20,15,0,15
1971,Qtr 4,October,2,1971-10-02,West,Vickers,Vickers Vanguard 951G Apec,Near Aarsele West,Belgium          Vlaanderen British European Airways,63,63,0,63
1929,Qtr 1,January,31,1929-01-31,West,Travel,Travel Air 4000Nc6480,Morgantown West,Company Transportation Virginiaskyline,1,1,0,1
1971,Qtr 3,August,18,1971-08-18,West,Boeing,Boeing Vertol Ch 47A (Helicopter)66,Near Pegnitz West,Army U.S. - Germanymilitary,37,37,0,37
1929,Qtr 4,October,31,1929-10-31,Washington,Loening,Loening C 2Cnc9158,Off Bremerton Washington,Lines Air Gorst / Taxi Air Bremerton-Seattle,2,2,0,2
1951,Qtr 1,January,16,1951-01-16,Washington,Martin,Martin 202N93054,Near Reardan Washington,Airlines Orient Northwest,10,10,0,10
1952,Qtr 4,November,28,1952-11-28,Washington,Douglas,Douglas C 54G (Dc,Near Tacoma Washington,Force Air U.S. - Military,38,37,0,37
1962,Qtr 3,September,10,1962-09-10,Washington,Boeing,Boeing Kc 135A60,Near Milan Washington,Force Air U.S. - Military,44,44,0,44
1929,Qtr 4,November,30,1929-11-30,Washington,Stearman,Stearman M 2 Speedmailnc8199,Vancouver Washington,Lines Air Varney,1,1,0,1
1928,Qtr 4,December,10,1928-12-10,Washington,Ford,Ford Tri Motor 4Nc7687,Spokan Washington,Airways Spokane,5,5,0,5
1949,Qtr 3,July,19,1949-07-19,Washington,Curtiss,Curtiss C 46F,Seattle Washington,Associates Transport Air,32,2,4,6
1949,Qtr 1,January,2,1949-01-02,Washington,Douglas,Douglas Dc 3 (C,Seattle Washington,Charter Air Seattle,30,14,0,14
1947,Qtr 4,November,30,1947-11-30,Washington,Douglas,Douglas C 54Anc,Seattle Washington,Airlines Alaska,28,8,1,9
1975,Qtr 1,March,20,1975-03-20,Washington,Lockheed,Lockheed C 141A (L.300)64,Near Quilcene Washington,Force Air U.S. - Military,16,16,0,16
1931,Qtr 1,January,22,1931-01-22,Washington,Boeing,Boeing 40Nc741K,Bluff Mountain Washington,Lines Air Varney,1,1,0,1
1958,Qtr 3,September,8,1958-09-08,Washington,Boeing,Boeing B 52 / Boeing B,Near Fairchild Afb Washington,Force Air U.S. / Force Air U.S. - Military,16,13,0,13
1957,Qtr 1,March,2,1957-03-02,Washington,Douglas,Douglas C 54Bn90449,Blyn Washington,Airlines Alaska,5,5,0,5
1961,Qtr 2,May,24,1961-05-24,Washington,Douglas,Douglas C 124A,Near Tacoma Washington,Force Air U.S. - Military,22,22,0,22
1953,Qtr 2,April,14,1953-04-14,Washington,Douglas,Douglas Dc 3 (C,Selleck Washington,Airlines Miami,25,7,0,7
1953,Qtr 3,September,1,1953-09-01,Washington,Douglas,Douglas Dc 3N19941,Vail Washington,Airlines Cargo Regina,21,21,0,21
1943,Qtr 1,February,18,1943-02-18,Washington,Boeing,Boeing Xb 2941,Seattle Washington,Company Aircraft Boeing - Private,10,10,20,30
1956,Qtr 2,April,2,1956-04-02,Washington,Boeing,Boeing 377 Stratocruiser 10 30N74608,Seattle Washington,Airlines Orient Northwest,38,5,0,5
1955,Qtr 4,November,17,1955-11-17,Washington,Douglas,Douglas C 54N88852,Seattle Washingon,Peninsular,74,28,0,28
2008,Qtr 2,May,17,2008-05-17,Washington,De Havilland,De Havilland Canada Dhc 2 Mark I Beavern5998Q,Stehekin Washington,Service Air Chelan,5,2,0,2
2014,Qtr 1,March,18,2014-03-18,Washington,Urocopter,Urocopter As350 B2N250Fb,Seattle Washington,Tv Komo / Inc Helicopters,2,2,0,2
1931,Qtr 4,November,26,1931-11-26,Washington,Boeing,Boeing 40Nc10338,Pasco Washington,Lines Air Varney,1,1,0,1
1952,Qtr 4,December,20,1952-12-20,Washington,Douglas,Douglas C 124A Globemaster50,Moses Lake Washington,Force Air U.S. - Military,115,87,0,87
1965,Qtr 2,April,23,1965-04-23,Washington,Douglas,Douglas Dc 6An6541C,Near Seattle Washington,Airlines Aaxico,5,5,0,5
1946,Qtr 4,December,10,1946-12-10,Washington,Curtiss,Curtiss  Wright R5C,Toledo Washington,Corps Marine U.S. - Military,32,32,0,32
1939,Qtr 1,March,18,1939-03-18,Washington,Boeing,Boeing 307 Stratolinernx19901,Near Adler Washington,Company Aircraft Boeing,10,10,0,10
1953,Qtr 1,January,7,1953-01-07,Washington,Douglas,Douglas C 54B,Issaquah Washington,Line Tiger Flying,7,7,0,7
1987,Qtr 1,March,13,1987-03-13,Washington,Boeing,Boeing Kc 13560,Spokane Washington,Force Air U.S. - Military,6,6,1,7
1994,Qtr 1,March,18,1994-03-18,Washington,Douglas,Douglas Dc 3Cn3433Y,Spokane Washington,Salair,2,2,0,2
1981,Qtr 1,January,20,1981-01-20,Washington,Beechcraft,Beechcraft 99An390Ca,Spokane Washington,Airways Cascade,9,7,0,7
1978,Qtr 1,February,10,1978-02-10,Washington,Beechcraft,Beechcraft 99N199Ea,Richland Washington,Airlines Pacific Columbia,17,17,0,17
2003,Qtr 4,November,29,2003-11-29,Washington,Swearingen,Swearingen Sa227At Merlin Ivcn439Af,Spokane Washington,Ameriflight,1,1,0,1
1989,Qtr 4,December,26,1989-12-26,Washington,British,British Aerospace 3101 Jetstream 31N410Ue,Pasco Washington,Express United,6,6,0,6
1949,Qtr 1,February,19,1949-02-19,Warks,Douglas,Douglas Dc 3 / Avro Ansong,Near Coventry Warks,England British European Airways / Military - British,14,14,0,14
1965,Qtr 1,February,8,1965-02-08,Wantagh,Douglas,Douglas Dc 7Bn849D,Off Jones Beach Wantagh,New York Eastern Air Lines,84,84,0,84
1968,Qtr 4,December,31,1968-12-31,Wa,Vickers,Vickers Viscount 720Vh Rmq,Port Hedland Wa,Australia Mac,26,26,0,26
1963,Qtr 1,March,15,1963-03-15,Volcano,Douglas,Douglas Dc 6Bcp,Near Tacora Volcano,Peru Lloyd Aereo Boliviano,39,39,0,39
1985,Qtr 1,February,19,1985-02-19,Vizcaya,Boeing,Boeing B 727,Near Durango Vizcaya,Spain Iberia Airlines,148,148,0,148
1961,Qtr 4,November,8,1961-11-08,Virginia,Lockheed,Lockheed C 69 Constellationn2737A,Near Richmond Virginia,Airways Imperial,79,76,0,76
1908,Qtr 3,September,17,1908-09-17,Virginia,Wright,Wright Flyer Iii,Fort Myer Virginia,Army U.S. - Military,2,1,0,1
1959,Qtr 4,October,30,1959-10-30,Virginia,Douglas,Douglas Dc 3N55V,Waynesborough Virginia,Airlines Piedmont,27,26,0,26
1940,Qtr 3,August,31,1940-08-31,Virginia,Douglas,Douglas Dc 3Nc21789,Near Lovettsville Virginia,Airlines Central Pennsylvania,25,25,0,25
1960,Qtr 1,January,18,1960-01-18,Virginia,Vickers,Vickers Viscount 745Dn7462,Charles City Virginia,Airlines Capital,50,50,0,50
1971,Qtr 2,May,28,1971-05-28,Virginia,Aero,Aero Commander 680En601Jj,Roanoke Virginia,Private,6,6,0,6
1922,Qtr 1,February,21,1922-02-21,Virginia,Dirigible,Dirigible Roma (Airship),Near Norfolk Virginia,Service Air Army U.S. - Military,45,34,0,34
1974,Qtr 4,December,1,1974-12-01,Virginia,Boeing,Boeing B 727,Near Berryville Virginia,Airlines World Trans,92,92,0,92
1964,Qtr 3,July,16,1964-07-16,Virginia,Douglas,Douglas Dc 7Bn809D,Richmond Virginia,Lines Air Eastern,76,0,0,0
1933,Qtr 2,June,4,1933-06-04,Virginia,Pitcairn,Pitcairns Pa 6,Bowling Green Virginia,Transport Air Eastern,1,1,0,1
2004,Qtr 4,October,24,2004-10-24,Virginia,Beech,Beech 200 Super King Airn501Rh,Martinsville Virginia,Inc. Motorsports Hendrick - Private,10,10,0,10
1949,Qtr 4,November,1,1949-11-01,Virginia,Douglas,Douglas C 54B / P,Arlington Virginia,Force Air Bolivian - Military / Lines Air Eastern,55,55,0,55
1994,Qtr 2,June,18,1994-06-18,Virginia,Learjet,Learjet 25Dxa Bba,Chantilly Virginia,Taesa,12,12,0,12
1945,Qtr 1,February,23,1945-02-23,Virginia,Douglas,Douglas Dc 3Nc18142,Marion Virginia,Airlines American,22,17,0,17
1947,Qtr 1,January,12,1947-01-12,Virginia,Douglas,Douglas Dc 3Nc88872,Near Galax Virginia,Lines Air Eastern,19,18,0,18
1947,Qtr 2,June,13,1947-06-13,Virginia,Douglas,Douglas Dc 4 (C,Leesburg Virginia,Airlines Central Pennsylvania,50,50,0,50
1996,Qtr 4,December,22,1996-12-22,Virginia,Mcdonnell,Mcdonnell Douglas Dc 8,Narrows Virginia,Express Airborne,6,6,0,6
1946,Qtr 2,May,16,1946-05-16,Virginia,Douglas,Douglas Dc 3Nc53218,Richmond Virginia,Transport Air Viking,27,27,0,27
1965,Qtr 3,July,15,1965-07-15,Virginia,De Havilland,De Havilland 106An6503D,St. Thomas Virgin,Airways Islands Islandsvirgin,12,8,0,8
1970,Qtr 4,December,28,1970-12-28,Virginia,Boeing,Boeing B 727,St. Thomas Virgin,Airways Caribbean Islandstrans,55,2,0,2
1979,Qtr 3,July,24,1979-07-24,Virginia,De Havilland,De Havilland Dh 114 Heronn575Pr,St. Croix Virgin,Islandsprinair,21,8,0,8
1976,Qtr 2,April,27,1976-04-27,Virginia,Boeing,Boeing B 727,St. Thomas Virgin,Airlines Islandsamerican,88,37,0,37
1978,Qtr 2,April,5,1978-04-05,Virginia,Grumman,Grumman G 21N877A,St. Thomas Virgin,Air Islandsantilles,9,2,0,2
1976,Qtr 1,February,21,1976-02-21,Virginia,Grumman,Grumman G 21A Seaplanen4772C,St. Croix Virgin,Air Islandsantilles,11,5,0,5
2014,Qtr 3,July,7,2014-07-07,Vietnam,Mil,Mil Mi 171,Thach That District Vietnam,Force Air Army People'S Vietnam - Military,19,18,0,18
1976,Qtr 3,August,28,1976-08-28,Vietnam,Sud,Sud Aviation Se 210 Caravelle Iiif Bsgz,Ho Chi Minh City Vietnam,France Air,20,1,0,1
1953,Qtr 4,October,17,1953-10-17,Vietnam,Douglas,Douglas C 47Bf,Lai Chau Vietnam,Sila Compagnie,7,2,0,2
1954,Qtr 2,June,8,1954-06-08,Vietnam,Douglas,Douglas C 47,Da Nang Vietnam,Orient D'Extrême Aériens Tr. De Soc.,4,4,0,4
1965,Qtr 4,October,18,1965-10-18,Vietnam,Boeing,Boeing 307 Stratoliner B 1F,Near Hanoi Vietnam,Commision Control International,13,13,0,13
1965,Qtr 3,September,27,1965-09-27,Vietnam,Beechcraft,Beechcraft C 45Hn9574Z,Bao Trai Vietnam,America Air,3,3,0,3
1953,Qtr 1,February,3,1953-02-03,Vietnam,Douglas,Douglas C 47B,Lai Chau Vietnam,Outremer Air,18,18,0,18
1950,Qtr 1,March,10,1950-03-10,Vietnam,Bristol,Bristol 170 Freighter 21F Becr,Saigon Vietnam,Aeriens Transport De Indochinoise Societe,4,4,0,4
1953,Qtr 1,March,17,1953-03-17,Vietnam,Douglas,Douglas Dc 3F,Off Da Nang Vietnam,Azur Aigle,8,8,0,8
1953,Qtr 2,April,16,1953-04-16,Vietnam,Douglas,Douglas Dc 3F,Nw Of Hanoi Vietnam,Azur Aigle,30,30,0,30
1992,Qtr 4,November,14,1992-11-14,Vietnam,Yakovlev,Yakovlev Yak 40Vn,Near Nha Trang Vietnam,Airlines Vietnam,31,30,0,30
1972,Qtr 2,June,5,1972-06-05,Vietnam,Curtiss,Curtiss C 46Aem2,Near Pleiku Vietnam,America Air,32,32,0,32
1970,Qtr 3,September,30,1970-09-30,Vietnam,Douglas,Douglas Dc 3,Near Da Nang Vietnam,Vietnam) (South Vietnam Air,38,4,0,4
1974,Qtr 1,March,8,1974-03-08,Vietnam,Antonov,Antonov An 24Xw,Hanoi Vietnam,Airlines Lao Pathet,18,18,0,18
1975,Qtr 1,January,3,1975-01-03,Vietnam,Fairchild,Fairchild C 123Kst,Near Nha Trang Vietnam,America Air,9,9,0,9
1974,Qtr 3,July,27,1974-07-27,Vietnam,Fairchild,Fairchild C 123Kst,Near Moc Hoa Vietnam,Amercia Air,5,5,0,5
1968,Qtr 2,May,12,1968-05-12,Vietnam,Lockheed,Lockheed C 130B Hercules60,Kham Duc Vietnam,Force Air U.S. - Military,155,155,0,155
1966,Qtr 4,October,4,1966-10-04,Vietnam,De Havilland,De Havilland Canada Cv 2B Caribou63,An Khe Vietnam,Army U.S. - Military,32,14,0,14
1969,Qtr 1,January,16,1969-01-16,Vietnam,Douglas,Douglas C 47 Skytrain (Dc,Near Hue Vietnam,America Air,12,12,0,12
1969,Qtr 4,December,22,1969-12-22,Vietnam,Douglas,Douglas Dc 6Bb,Nha Trang Vietnam,Vietnam) (South Vietnam Air,77,10,24,34
1969,Qtr 3,September,20,1969-09-20,Vietnam,Douglas,Douglas Dc 4 / Usaf F,Near Hoi An Vietnam,Vietnam) (South Vietnam Air,76,74,2,76
1954,Qtr 2,April,4,1954-04-04,Vietnam,Douglas,Douglas C 54Af,Hanoi Vietnam,Autrex,4,4,0,4
2001,Qtr 2,April,7,2001-04-07,Vietnam,Mil,Mil Mi 18 Helicoptervn,Thanh Tranh Village Vietnam,Account Full - Charter - Vietnam Sfc,16,16,0,16
2017,Qtr 1,February,21,2017-02-21,Victoria,Beechcraft,Beechcraft B200 Super King Airvh Zcr,Melbourne Victoria,Australia Australian Corporate Jet Centres Pty. Ltd,5,5,0,5
1935,Qtr 4,October,2,1935-10-02,Victoria,De Havilland,De Havilland Dh 86Vh,Off Finders Island Victoria,Australia Holyman Airways,5,5,0,5
2006,Qtr 3,August,4,2006-08-04,Vermont,Embraer,Embraer 110 Bandeiranten59Ba,Near Pownal Vermont,Air,1,1,0,1
