Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1947,Qtr 1,March,14,1947-03-14,France,Douglas,Douglas Dc 3 (C,Mt. Moucherolles France,France Air,23,23,0,23
1971,Qtr 3,July,30,1971-07-30,France,Nord,Nord 2501 Noratlas49,Near Pau France,Force Air French - Military,39,37,0,37
1974,Qtr 1,March,3,1974-03-03,France,Mcdonnell,Mcdonnell Douglas Dc 10,Near Ermenonville France,(Thy) Airlines Turkish,346,346,0,346
1968,Qtr 3,September,11,1968-09-11,France,Sud,Sud  Aviation Caravelle 3F,Off Cap D'Antibes France,France Air,95,95,0,95
1948,Qtr 1,March,2,1948-03-02,France,Junkers,Junkers Ju 52/3Mf,Off Perpignan France,Aériens Transports De Société,4,4,0,4
1924,Qtr 4,November,6,1924-11-06,France,Breguet,Breguet 14F Afbd,Cabrerolles France,Aeriens Express Grands,1,1,0,1
1928,Qtr 4,December,31,1928-12-31,France,Bleriot,Blériot Spad 66F Aehx,Reims France,Cidna,3,2,0,2
1996,Qtr 4,November,7,1996-11-07,France,Cessna,Cessna 421C Golden Eaglehb Lrx,Aubusson France,S.A. Jetcom,8,8,0,8
1927,Qtr 4,November,8,1927-11-08,France,Farman,Farman F 121 Jabiruf,Strasburg France,Cidna,1,1,0,1
1998,Qtr 3,July,30,1998-07-30,France,Beechcraft,Beechcraft 1900D / Cessna 177F Gsjm/F,Near Quiberon France,Private / Air Proteus,15,15,0,15
1946,Qtr 2,June,29,1946-06-29,France,Junkers,Junkers Ju 52/3Mf,Pau France,France Air,3,2,0,2
1994,Qtr 2,June,30,1994-06-30,France,Airbus,Airbus A330 321F,Toulouse-Blagnac France,Industrie Airbus,7,7,0,7
1947,Qtr 2,June,4,1947-06-04,France,Junkers,Junkers Ju 52F,Near Gemenos France,France Air,2,2,0,2
1995,Qtr 1,January,20,1995-01-20,France,Dassault,Dassault Falcon 20Ef Ghln,Le Bourget France,Charter - Leadair,10,10,0,10
1937,Qtr 4,December,8,1937-12-08,France,Potez,Potez 621F Aotz,Saint Sauveur France,France Air,7,2,0,2
1925,Qtr 4,November,14,1925-11-14,France,Farman,Farman F 60 Goliathf,Off Boulogne-Sur-Mer France,Union Air,2,2,0,2
1946,Qtr 3,August,20,1946-08-20,France,Avro,Avro 691 Lancastrian 1G Agmf,Rouen France,Airways Overseas British,9,8,0,8
1946,Qtr 3,September,4,1946-09-04,France,Douglas,Douglas Dc 3F,Le Bourget France,France Air,26,20,1,21
1946,Qtr 4,November,1,1946-11-01,France,Aac,Aac  1 Toucanf,St Leger-La-Montagne France,Roussillon Languedoc Cta,27,23,0,23
